Title,Author,Genre,Year,Publisher,Summary
Полет ласточки,Ольга Сергеевна Шерстобитова,Фэнтези,2016,СИ,"Что можно ожидать, отправляясь в зимний ночной лес за хворостом? Жуткого воя волков, страшных шорохов за спиной, пробирающего до костей мороза… Но точно не встречи с раненым темным магом, которая обернется поступлением в Академию Магии. Для сироты без собственного угла и с маленьким братом на руках — это подарок судьбы. И я согласилась его принять."
Пятьдесят оттенков свободы,Эрика Леонард Джеймс,Эротические любовные романы,2012,Эксмо,"«Пятьдесят оттенков свободы» — третья книга трилогии Э Л Джеймс «Пятьдесят оттенков», которая стала бестселлером № 1 в мире, покорив читателей откровенностью и чувственностью. Чем закончится история Анастейши и Кристиана? Удастся ли им сохранить свою любовь?"
Ириска на двоих [publisher: SelfPub],Ашира Хаан,Современные любовные романы,2020,Литагент Selfpub.ru (искл),"Секс – это скучно. Чуть-чуть приятно и довольно суетно. Но без него вполне можно обойтись. Как и в принципе без людей. Мне хватает и виртуального общения. Так я решила однажды и была вполне спокойна и счастлива до момента, пока на мир не обрушилась пандемия. Застрять на Кипре во время карантина на самом деле не так уж и страшно. В пустом курортном городе, где все обходят друг друга за два метра, море набегает тяжелыми волнами на берег, как тысячи лет до этого и обещает, что все однажды пройдет. Но мое тревожное одиночество нарушили двое наглецов, у каждого из которых были свои демоны в душе. Ни улететь, ни переехать, ни сбежать – закрыты отели, закрыты границы. Однако с ними мне оказалось гораздо спокойнее, чем одной. И интереснее… Содержит нецензурную брань."
Триумфальная арка,Эрих Мария Ремарк,literature,1999,Аст,Неизвестно
"Лучшая академия магии 3, или Попала по собственному желанию. Новые правила (СИ)",Виктория Свободина,Фантастические любовные романы,2016,СИ,"Теперь я второкурсница в лучшей академии магии. Особенность моего дара — я не вижу магические иллюзии и уничтожаю их. Первый курс научил меня видеть сквозь иллюзии, но не магические, а те, которые я создаю сама в своей голове. Посмотрим, чему еще научат меня в моей академии новые преподаватели и однокурсники. В любом случае, я постараюсь больше не играть по чужим правилам, а создам для всех свои совершенно новые правила."
Проданная дракону. Возврату и обмену не подлежит [litres],Алисия Эванс,Фэнтези,2020,Литагент Альфа-книга,"Он поселил меня в своем замке и начал настаивать на свадьбе. Разве не этого я хотела? Но для драконов я чужая, странная, порочная. Человеческой женщине никогда не быть равной драконице. Но оказалось, что у нас есть проблемы посерьезнее: король моего государства решил надавить на драконов, используя меня как рычаг. И моему дракону это очень не понравилось…"
Недостойная [litres],Анна Шнайдер,Фэнтези,2019,Литагент Альфа-книга,"Очень просто быть великим магом, обладая большим даром. Что же остается делать тем, у кого магии кот наплакал? На вступительных экзаменах ректор магического университета сказал Эн Рин, что она недостойна у них учиться. Можно было бы сдаться, но девушка предпочла другой путь и через несколько лет стала лучшей выпускницей курса, поступила на стажировку в Императорский госпиталь и занялась разработкой способов лечения безнадежных больных – магов, потерявших магию. И кто бы мог подумать, что в один прекрасный день пациентом Эн окажется сам архимагистр Бертран Арманиус, десять лет назад назвавший ее недостойной?"
Галкино счастье,Светлана Богдановна Шёпот,Альтернативная история,2021,СамИздат,"В тексте есть: попаданка, бытовое фэнтези, неунывающая героиня Другой мир? Столько нового и интересного! Лишние килограммы? Приятная округлость в нужных местах еще никого не портила! Темное прошлое? В каждой женщине должна быть загадка! Полуразвалившаяся таверна в наследство? Стартовые условия не идеальны, но хорошо уже то, что они есть! Галина Николаевна, попавшая в тело баронессы Висконсии дель Каруссо, даже не думала унывать. Не в ее правилах было опускать руки."
Именинница [litres],Пенелопа Дуглас,Современные любовные романы,2020,Литагент АСТ,"Когда Джордан поддалась на уговоры своего парня временно пожить под одной крышей с его отцом, она даже представить не могла, чем обернется это соседство. Но ради того, чтобы сэкономить немного денег, согласилась выполнять нехитрую работу по дому, о которой попросил хозяин в обмен на проживание. Пайк Лоусон сразу же показался девушке угрюмым и нелюдимым. Еще бы! Он давно привык жить один, а не делить кров с взрослым сыном и его подружкой. Но скоро девушка замечает, что у нее появляется к Пайку внезапный интерес."
Сын Сталина: Рокировка. Сын Сталина. Джокер Сталина [сборник litres с оптимизированной обложкой],Андрей Борисович Земляной,Альтернативная история,2019,"АСТ, Ленинград","Погибнуть с честью, исполняя свой долг, это иногда не конец, а лишь начало новой реальности. Реальности, в которой мир избежал схватки Германии и СССР. Но те, кто оплатил Вторую мировую бойню, не успокоятся. Десятки тайных операций по всему миру расставляют новые фигуры на глобальной доске, а приёмный сын Сталина творит свою историю. Историю, где существование США не предполагается."
Смерти вопреки: Чужой среди своих. Свой среди чужих. Ангел с железными крыльями. Цепной пёс самодержавия [сборник litres],Виктор Иванович Тюрин,Альтернативная история,2022,Литагент АСТ,"Жизнь этого человека так бы и закончилась в двадцать первом веке, но что-то пошло не так, и он оказался в 1940 году, в теле семнадцатилетнего Кости Звягинцева. Главный герой – бывший наемник, воин-афганец, который имел в жизни только два принципа: не предавать родину и не воевать против своих. Другое время оказалось для него чужим, ведь он не подходил под стандартный вариант гражданина Страны Советов, и ему пришлось искать свое место в этой новой жизни. А еще ему пришлось выживать, как когда-то в горах Афгана или в тропических лесах «банановых республик», ведь наступила война и он не смог изменить присяге и стал защищать свою Родину… Сергей Богуславский не только старается найти свое место в новом для себя мире, но и все делает для того, чтобы не допустить государственного переворота и последовавшей за ним гражданской войны, ввергнувшей Россию в хаос. Создав на основе жандармерии новый карательный орган, он уничтожит оппозицию в стране, предотвратит ряд покушений на государя, заставит народ поверить, что для российского правосудия неприкасаемых больше нет."
"Бешеный прапорщик [Весь цикл в одном томе] [СИ голимый, не вычитанный, но вроде законченный]",Дмитрий Аркадьевич Зурков,Альтернативная история,2020,СИ,"Кто-то, сидя за книжками, с детства грезил о сражениях и подвигах… Кто-то бессонными ночами хотел сделать великое открытие и стать Нобелевским лауреатом… Кто-то, лежа на солдатской койке после отбоя, мечтал стать генералом… Если ты долго смотришь в бездну, бездна тоже смотрит в тебя, – так говорил Ницше. И если шутить со Временем, то и Время может подшутить над тобой… Их мечты сбылись. В другом месте и в другое время. Но есть одно «но» – идет Война… Неизвестная, о которой мало говорили и еще меньше вспоминали… Первая… Мировая… Мясорубка… И неважно, как в данный момент Времени называется Страна, которой ты присягал. Ты будешь ее защищать от врагов. И внешних, и внутренних…"
Искатель: Искатель. Потерянный. Бродяга. Возвращение (сборник) [litres],Дмитрий Сергеевич Кружевский,Боевая фантастика,2018,Литагент АСТ,"Далекое будущее, космические корабли, киборги, андроиды, таинственные враги, неизведанные миры, схватки на земле и в космосе… Да, все это есть, но на самом деле эта книга не об этом. В первую очередь – эта книга о судьбе, эта книга о настоящей дружбе, эта книга о взрослении и трудности выбора, эта книга о потерях и расставаниях, эта книга о любви. И главное – ЭТА КНИГА О МЕЧТЕ. А некоторые мечты имеют обыкновение сбываться. Кирилл поступил в академию, где приобрел новых друзей и выучился на настоящего профессионала-спасателя. И пусть он не стал капитаном космического корабля, однако работа у него не менее ответственная и опасная. Он делает все, что может и должен, спасая людей на Земле и в Солнечной системе. Его ожидают и звезды, и любовь, и смертельно опасные схватки с врагами…"
Имперский вояж 1-4,Олег Викторович Данильченко,Боевая фантастика,2020,"АСТ, Издательский дом «Ленинград»","Ох как непросто быть попаданцем — чужой мир, вокруг всё незнакомо и непонятно, пугающе. Помощи ждать неоткуда. Всё приходится делать самому. И нет конца этому марафону. Как та белка в колесе, пищи, но беги. На голову землянина свалилось столько приключений, что врагу не пожелаешь. Успел найти любовь — и потерять, заимел серьёзных врагов, его убивали — и он убивал, чтобы выжить. Выбирать не приходится. На фоне происходящих событий ещё острее ощущается тоска по дому. Где он? Где та тропинка к родному порогу? Придётся очень постараться, чтобы найти этот путь. Тяжёлая задача? Может быть. Но куда деваться? Одному бодаться против целого мира — не вариант. Нужно приспосабливаться и продолжать двигаться к поставленной цели. По-кошачьи — на мягких лапах. Но горе тому, кто примет эту мягкость за чистую монету.  Содержание:  • Из варяг в небо (роман), стр. 5-302. • На мягких лапах между звезд (роман), стр. 303-608. • Чужая война (роман), стр. 609-794. • Тропинка к Млечному пути (роман), стр. 795-974."
