Name,Position,Age,Height,Weight,Team,College,Salary
Malcolm Brogdon,PG,30,195 см,104 кг,Boston Celtics,Virginia,$ 22.600.000
Jaylen Brown,SG,26,201 см,101 кг,Boston Celtics,California,$ 28.741.071
Justin Champagnie,SF,21,201 см,93 кг,Boston Celtics,Pittsburgh,$ 28.241
JD Davison,SG,20,186 см,88 кг,Boston Celtics,Alabama,Неизвестно
Danilo Gallinari,PF,34,186 см,107 кг,Boston Celtics,Неизвестно,$ 6.479.000
Blake Griffin,PF,34,210 см,113 кг,Boston Celtics,Oklahoma,$ 1.836.090
Sam Hauser,SF,25,204 см,98 кг,Boston Celtics,Virginia,$ 1.563.518
Al Horford,C,36,210 см,109 кг,Boston Celtics,Florida,$ 26.500.000
Mfiondu Kabengele,C,25,186 см,113 кг,Boston Celtics,Florida State,$ 1.701.593
Luke Kornet,C,27,219 см,113 кг,Boston Celtics,Vanderbilt,$ 2.133.278
Mike Muscala,C,31,186 см,109 кг,Boston Celtics,Bucknell,$ 3.500.000
Payton Pritchard,PG,25,186 см,88 кг,Boston Celtics,Oregon,$ 2.239.200
Marcus Smart,PG,29,195 см,100 кг,Boston Celtics,Oklahoma State,$ 17.207.141
Jayson Tatum,SF,25,207 см,95 кг,Boston Celtics,Duke,$ 28.103.500
Derrick White,PG,28,195 см,86 кг,Boston Celtics,Colorado,$ 16.892.857
Grant Williams,PF,24,201 см,107 кг,Boston Celtics,Tennessee,$ 4.306.281
Robert Williams III,C,25,210 см,108 кг,Boston Celtics,Texas A&M,$ 10.937.502
Mikal Bridges,SF,26,201 см,95 кг,Brooklyn Nets,Villanova,$ 20.100.000
Nic Claxton,C,24,186 см,98 кг,Brooklyn Nets,Georgia,$ 8.500.000
Seth Curry,SG,32,186 см,84 кг,Brooklyn Nets,Duke,$ 8.496.500
Spencer Dinwiddie,PG,30,201 см,98 кг,Brooklyn Nets,Colorado,$ 19.500.000
David Duke Jr.,G,23,195 см,93 кг,Brooklyn Nets,Providence,$ 28.241
Dorian Finney Smith,PF,30,204 см,100 кг,Brooklyn Nets,Florida,$ 12.939.648
RaiQuan Gray,F,23,204 см,122 кг,Brooklyn Nets,Florida State,Неизвестно
Joe Harris,SF,31,201 см,100 кг,Brooklyn Nets,Virginia,$ 18.642.857
